NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
459.1,471.7,455.9,447.8,300.0
661.1,662.5,589.1,777.7,880.0
464.5,502.7,489.9,522.4,300.0
426.9,450.1,469.3,449.4,500.0
440.6,625.9,557.1,629.1,560.0
435.7,526.0,451.1,444.4,240.0
417.3,532.4,411.9,518.8,300.0
470.8,579.6,519.5,457.9,540.0
473.6,582.2,469.8,437.9,640.0
434.5,568.4,561.2,595.5,560.0
475.1,498.5,504.0,440.3,560.0
511.4,648.7,579.6,508.6,680.0
508.8,635.7,577.7,587.7,480.0
509.6,628.3,536.3,465.6,680.0
600.8,675.9,559.8,674.8,340.0
439.8,571.4,533.9,434.3,520.0
548.4,631.3,613.8,624.8,360.0
408.9,660.9,584.4,638.3,600.0
453.8,634.0,593.6,466.8,440.0
546.7,593.7,481.9,456.8,640.0
464.5,534.0,518.1,487.5,700.0
535.4,644.6,584.6,709.0,620.0
476.7,601.0,425.9,497.1,540.0
456.1,409.0,441.8,466.6,420.0
527.7,632.1,554.8,471.0,520.0
614.3,661.0,572.9,746.4,920.0
554.0,603.6,510.5,653.9,680.0
541.4,628.7,570.8,613.8,560.0
400.4,502.9,374.0,392.6,0.0
487.4,608.5,512.9,419.3,580.0
556.1,601.7,494.7,651.9,540.0
572.7,543.2,480.1,575.8,660.0
391.8,509.4,420.5,397.8,320.0
621.1,667.0,602.7,597.0,440.0
602.9,602.5,533.0,605.4,660.0
518.5,604.4,594.0,510.1,600.0
401.0,470.1,427.4,438.3,460.0
560.1,685.4,618.6,780.3,800.0
477.1,418.9,462.6,481.2,600.0
439.2,564.3,554.9,452.3,440.0
524.5,626.5,528.9,471.4,620.0
373.7,722.9,642.4,756.5,840.0
536.6,658.4,562.6,680.1,660.0
514.3,575.5,551.3,507.1,720.0
435.8,550.7,450.9,535.8,320.0
426.0,559.5,420.1,579.0,460.0
536.8,615.5,576.5,520.1,580.0
446.2,654.7,575.4,541.0,440.0
477.3,470.6,555.9,389.9,300.0
619.0,630.9,406.8,386.4,540.0
679.6,715.9,610.0,784.4,860.0
414.9,642.6,551.1,395.7,800.0
379.9,599.1,383.8,420.7,320.0
674.9,684.2,688.0,784.1,820.0
433.3,528.4,530.9,517.8,500.0
424.1,528.6,485.9,472.7,400.0
571.0,635.8,606.2,687.4,600.0
555.8,657.0,588.0,755.8,700.0
555.5,608.9,597.4,513.4,680.0
474.6,598.1,613.8,611.2,800.0
466.6,625.8,565.3,473.2,620.0
518.4,472.9,509.6,579.0,400.0
576.5,642.7,572.5,487.7,280.0
506.8,550.9,491.9,528.0,320.0
437.5,435.0,476.9,413.4,280.0
580.8,619.2,542.9,399.1,500.0
490.9,610.2,589.5,514.6,540.0
449.4,528.2,506.9,516.9,300.0
396.7,516.0,332.5,461.5,520.0
598.1,570.8,584.0,455.0,780.0
413.9,501.4,535.6,524.8,360.0
492.1,567.1,518.6,522.9,620.0
428.3,658.3,554.8,641.5,740.0
446.8,581.5,595.0,622.3,520.0
536.6,657.1,607.3,679.7,780.0
508.7,620.6,540.5,610.4,420.0
642.2,664.0,615.6,705.3,640.0
628.9,688.9,636.3,715.6,640.0
475.2,656.8,561.1,790.8,700.0
509.6,525.9,501.4,397.1,360.0
530.2,641.3,555.5,529.0,600.0
674.6,700.4,654.4,743.4,900.0
518.1,623.5,530.9,540.2,520.0
385.3,404.4,443.0,610.2,540.0
575.5,636.8,621.1,691.9,840.0
429.2,551.3,447.6,454.9,400.0
482.8,505.9,546.5,427.2,440.0
463.6,415.1,461.5,423.3,0.0
588.1,613.2,585.0,423.3,560.0
463.2,496.2,466.8,512.3,600.0
613.5,548.0,577.0,609.0,680.0
480.9,562.4,553.7,419.6,0.0
506.8,541.0,562.9,558.4,340.0
512.9,618.5,506.1,609.5,760.0
575.7,511.3,465.1,521.2,440.0
529.8,639.8,649.7,668.3,520.0
427.0,464.5,490.5,375.6,300.0
539.4,607.3,577.7,493.8,540.0
483.8,624.7,625.3,667.5,720.0
392.3,569.9,547.7,475.3,580.0
435.5,620.9,546.6,443.8,520.0
449.2,448.3,473.2,507.2,300.0
509.0,616.0,555.6,444.5,560.0
427.2,530.3,541.5,484.0,520.0
461.4,448.1,389.6,446.0,640.0
408.1,449.5,389.9,449.1,320.0
427.8,432.1,457.9,429.0,480.0
376.8,609.8,545.8,536.3,380.0
512.1,430.1,532.1,532.5,300.0
494.3,577.0,586.3,619.9,660.0
463.2,527.9,534.3,528.3,320.0
489.6,611.9,525.2,536.5,380.0
470.3,634.2,579.0,472.4,560.0
463.7,541.8,482.6,668.3,560.0
402.2,571.4,522.6,530.7,500.0
596.1,663.0,625.4,659.9,560.0
450.9,408.7,510.5,516.4,480.0
592.6,677.4,657.8,582.5,740.0
512.0,470.1,488.9,416.3,300.0
565.2,647.4,597.0,617.2,960.0
380.6,539.2,490.3,372.7,360.0
642.5,671.3,663.5,685.6,640.0
561.5,655.5,551.7,419.6,380.0
631.1,691.8,614.6,814.7,620.0
567.9,590.4,621.6,531.9,560.0
538.2,650.7,609.1,437.5,600.0
382.5,551.2,447.6,419.9,400.0
674.4,701.2,629.3,809.4,940.0
414.3,440.4,370.1,435.7,280.0
530.2,624.0,501.7,490.7,640.0
556.3,603.9,570.8,716.1,940.0
421.3,527.4,527.0,660.3,680.0
433.9,485.3,489.5,441.4,400.0
545.4,644.2,652.7,617.7,800.0
495.6,578.8,573.9,668.2,740.0
517.7,622.9,567.5,616.2,400.0
464.8,565.7,465.6,455.7,520.0
525.5,584.3,589.0,464.2,480.0
534.5,629.3,554.8,671.1,420.0
557.9,530.5,526.0,624.5,260.0
434.3,489.9,492.3,448.5,640.0
380.7,593.7,536.1,526.3,360.0
581.7,594.8,591.1,548.2,400.0
593.9,633.1,580.2,663.9,820.0
581.5,483.7,567.4,665.9,360.0
459.3,582.4,504.9,504.4,520.0
503.9,661.3,620.2,577.3,560.0
536.8,578.7,557.8,570.0,460.0
531.7,588.0,465.7,539.8,500.0
445.4,481.8,478.9,388.7,200.0
493.3,485.6,387.1,400.9,360.0
374.2,522.9,411.9,527.1,300.0
493.6,607.5,571.1,522.6,320.0
555.5,585.7,534.9,568.8,500.0
417.3,597.4,484.2,428.9,520.0
567.0,652.3,630.0,439.5,360.0
382.9,568.8,493.6,492.1,520.0
451.7,644.7,588.2,651.9,640.0
597.6,676.8,597.8,698.5,740.0
562.8,636.8,570.7,609.2,560.0
397.7,640.6,547.7,588.0,0.0
494.7,629.3,551.1,484.3,720.0
543.1,554.8,506.6,467.8,320.0
518.8,619.6,542.4,631.2,520.0
530.1,703.3,613.7,663.8,780.0
405.6,484.0,457.7,489.9,520.0
494.8,477.4,459.6,388.8,320.0
467.8,579.1,592.6,571.7,720.0
600.3,607.9,555.6,391.7,600.0
437.6,452.3,430.2,377.8,0.0
461.7,437.0,452.2,433.3,200.0
443.5,638.7,555.4,417.6,520.0
536.0,475.5,456.2,430.8,320.0
437.5,471.4,488.3,492.0,440.0
561.9,658.3,613.4,539.4,400.0
401.9,454.5,438.0,411.1,540.0
610.6,662.2,603.5,637.2,500.0
409.3,394.5,318.8,537.6,440.0
527.1,608.8,566.2,449.5,760.0
457.4,422.7,486.9,524.5,0.0
587.3,659.7,592.9,725.3,400.0
543.2,624.7,516.5,568.0,700.0
543.9,617.1,585.1,620.9,580.0
505.7,646.5,624.0,656.3,680.0
522.0,419.5,526.0,410.1,620.0
475.8,420.5,436.9,567.3,460.0
386.3,480.6,469.9,510.9,580.0
426.6,584.1,540.4,464.0,300.0
491.2,539.9,557.9,404.5,360.0
533.7,638.8,602.9,640.7,340.0
452.6,640.3,572.5,631.7,880.0
506.2,570.3,541.2,465.2,340.0
477.2,602.5,529.6,413.0,280.0
428.2,633.5,591.9,603.4,380.0
537.4,690.4,663.9,438.2,460.0
497.5,582.4,496.2,432.8,620.0
426.7,476.5,425.7,382.2,400.0
649.5,676.0,602.3,756.0,880.0
413.2,510.7,392.5,505.5,520.0
510.1,584.2,533.4,477.9,660.0
491.6,579.6,476.9,384.7,300.0
472.1,602.3,578.4,431.3,580.0
447.7,489.9,528.1,439.3,460.0
432.6,588.0,513.3,476.6,880.0
425.7,589.3,424.5,617.6,540.0
381.8,537.3,484.6,425.8,300.0
631.4,639.6,647.5,519.5,680.0
482.9,601.5,517.6,426.3,220.0
538.0,531.5,499.7,483.4,560.0
459.0,613.8,575.0,616.0,400.0
427.6,426.1,528.3,464.7,520.0
636.6,679.6,642.7,523.5,720.0
477.7,710.9,634.1,763.1,820.0
438.1,530.0,462.9,483.4,300.0
554.0,610.5,551.5,537.4,600.0
369.7,459.0,409.4,412.5,300.0
439.4,537.7,486.5,426.2,520.0
402.7,537.7,434.1,495.4,320.0
405.5,593.4,539.7,435.7,700.0
489.4,544.2,464.0,417.4,840.0
514.9,613.7,583.0,507.8,320.0
455.6,607.3,555.2,435.5,700.0
404.4,441.5,397.9,454.3,560.0
466.0,620.5,600.4,695.1,580.0
507.6,623.7,579.2,428.4,760.0
455.3,535.8,546.2,454.6,420.0
394.7,416.5,457.5,435.8,500.0
408.0,453.6,511.5,430.7,440.0
646.2,679.2,620.2,614.9,660.0
424.8,591.7,588.6,595.1,600.0
449.7,569.9,518.4,421.4,580.0
455.3,578.2,546.5,487.3,640.0
513.9,426.5,409.5,419.7,440.0
658.3,714.2,617.4,790.1,920.0
516.7,534.8,515.7,417.1,540.0
723.1,713.0,660.4,762.8,840.0
458.3,561.3,558.8,489.0,340.0
597.2,673.7,631.1,701.4,720.0
520.8,626.5,607.3,594.0,940.0
505.9,534.1,406.2,383.3,520.0
592.8,598.4,580.6,718.8,740.0
453.3,551.5,534.0,629.5,680.0
612.5,670.6,656.1,582.5,840.0
623.3,684.9,605.6,743.9,600.0
496.0,572.5,544.8,604.9,580.0
432.3,524.4,529.0,455.3,640.0
426.3,522.6,466.7,420.9,300.0
378.2,591.9,433.0,445.0,320.0
580.4,690.1,645.9,580.4,660.0
512.8,599.7,498.3,380.6,560.0
463.7,548.1,553.6,450.8,360.0
537.0,646.9,562.5,471.8,520.0
475.8,538.7,460.4,470.2,300.0
414.4,542.2,376.3,513.5,500.0
411.1,428.3,409.8,501.1,480.0
447.6,512.1,440.2,523.2,260.0
485.1,589.1,478.1,402.0,620.0
545.8,447.4,570.8,524.4,520.0
531.0,628.4,597.6,536.7,600.0
416.5,599.4,494.6,521.8,540.0
470.4,615.4,618.3,530.0,320.0
532.2,599.9,567.9,513.6,380.0
435.1,629.2,555.1,480.9,360.0
464.4,591.9,441.8,456.7,240.0
559.5,659.0,579.5,451.4,560.0
538.1,594.7,602.8,520.2,620.0
432.8,569.7,438.5,451.4,440.0
538.1,631.1,610.1,694.1,700.0
649.7,697.3,631.3,630.7,920.0
552.9,607.2,464.3,448.9,620.0
525.6,415.4,500.7,503.2,300.0
409.8,582.1,476.3,502.1,520.0
453.3,473.4,554.2,428.3,600.0
648.2,673.8,640.5,764.4,920.0
431.1,576.2,414.2,477.0,400.0
558.4,442.5,501.8,498.8,380.0
541.6,636.9,511.6,589.5,740.0
574.5,626.2,524.5,560.3,0.0
557.0,644.8,543.1,585.2,420.0
395.0,550.8,509.3,445.5,520.0
555.1,435.2,506.4,554.4,520.0
600.2,626.5,599.0,773.2,740.0
452.2,559.9,595.9,496.3,720.0
478.8,489.9,482.1,506.1,300.0
605.1,634.4,545.4,601.8,640.0
612.0,649.8,586.8,661.1,880.0
570.6,638.9,636.0,698.7,900.0
525.1,495.4,530.2,621.0,440.0
445.2,537.2,530.1,527.0,360.0
506.0,622.4,579.1,475.0,680.0
464.3,540.4,382.1,437.3,280.0
585.2,438.1,541.0,482.6,380.0
594.6,661.8,535.0,598.3,720.0
522.8,652.8,594.3,459.5,500.0
475.8,492.9,494.8,496.6,580.0
620.8,689.2,596.5,738.1,680.0
447.8,448.5,450.9,531.7,280.0
388.3,593.8,557.7,656.0,480.0
506.8,622.6,577.5,665.6,480.0
381.4,574.1,464.8,510.5,520.0
667.1,653.9,689.1,709.7,840.0
426.6,540.8,511.0,543.2,600.0
435.3,505.1,448.5,484.7,240.0
387.9,584.8,420.4,399.2,500.0
389.5,438.5,508.7,440.7,280.0
494.2,494.2,495.2,386.2,420.0
591.9,664.8,642.2,643.9,900.0
443.5,585.9,504.3,464.5,280.0
447.0,609.9,550.7,580.7,480.0
534.9,616.9,543.0,575.9,540.0
477.6,633.5,548.7,428.3,720.0
484.5,609.9,572.1,626.5,320.0
467.7,512.2,535.8,549.9,360.0
587.0,666.8,658.2,676.9,720.0
634.6,695.1,638.6,749.4,840.0
471.9,450.4,421.7,594.9,760.0
397.0,551.8,472.8,567.9,500.0
487.4,550.7,557.9,570.6,580.0
428.3,448.7,425.0,398.6,520.0
575.5,658.5,606.0,702.4,680.0
559.6,508.0,581.6,582.5,340.0
600.2,539.6,487.0,533.2,360.0
403.0,490.1,455.3,571.8,340.0
579.8,558.2,538.9,514.1,240.0
500.6,587.6,584.3,531.0,580.0
466.9,597.6,534.0,545.3,580.0
437.3,568.2,450.7,529.0,320.0
461.7,558.4,499.0,472.2,460.0
487.5,435.5,432.9,410.0,300.0
610.7,613.9,545.5,738.2,620.0
571.6,673.5,585.5,650.1,640.0
441.5,632.5,515.3,495.8,540.0
404.1,551.7,374.0,383.2,680.0
550.1,599.1,608.1,529.5,680.0
624.1,655.2,608.9,556.7,380.0
401.7,433.2,454.2,441.0,0.0
518.8,579.8,465.0,618.1,380.0
602.2,612.3,600.6,652.1,560.0
415.8,597.7,513.5,613.2,620.0
618.9,601.4,595.9,498.7,500.0
561.3,527.8,439.2,448.9,320.0
529.7,506.7,509.9,398.7,320.0
548.6,586.9,492.9,414.8,540.0
411.2,600.2,474.8,511.2,380.0
528.6,584.6,549.4,608.2,500.0
531.8,619.8,574.2,443.7,500.0
538.6,612.3,563.8,453.6,720.0
630.1,648.3,636.0,463.1,520.0
445.6,479.0,348.4,449.2,320.0
395.0,573.2,462.6,429.0,300.0
498.1,608.7,548.0,724.4,760.0
507.1,540.9,440.0,465.0,300.0
736.4,674.6,607.1,783.8,980.0
469.6,485.0,473.5,443.2,340.0
470.4,605.8,503.3,533.3,680.0
415.6,491.2,557.9,453.3,900.0
441.1,637.5,610.3,570.3,440.0
472.1,452.1,452.8,593.0,280.0
603.0,669.2,608.1,595.9,740.0
432.1,485.2,462.2,487.6,500.0
392.1,462.9,460.6,407.9,420.0
456.6,539.1,563.2,462.0,520.0
472.3,604.4,544.9,503.6,600.0
536.6,641.4,587.4,659.4,880.0
574.4,468.9,507.4,617.7,340.0
545.1,557.3,505.4,551.5,400.0
544.1,482.0,533.0,467.9,880.0
439.8,536.3,382.7,580.5,340.0
480.1,503.0,468.8,451.6,320.0
551.5,517.6,472.4,415.4,520.0
511.0,579.3,478.6,510.1,340.0
424.5,516.3,497.0,470.4,620.0
472.6,570.5,577.0,488.2,380.0
594.0,657.3,579.3,675.2,880.0
409.8,546.6,430.3,421.7,560.0
557.8,663.9,628.7,650.4,540.0
552.2,591.3,512.2,449.2,320.0
457.1,556.3,479.6,435.4,360.0
549.6,563.8,580.9,593.8,560.0
577.1,644.6,519.7,687.5,720.0
481.2,668.8,601.1,676.8,720.0
397.7,617.3,566.9,679.4,380.0
504.9,651.8,547.6,617.1,640.0
404.3,529.2,490.6,481.9,540.0
512.6,580.7,522.6,557.6,360.0
523.8,675.5,601.6,710.2,700.0
475.7,524.9,489.4,469.8,320.0
429.1,581.5,477.1,446.1,360.0
629.3,510.3,620.6,602.3,960.0
461.7,631.4,552.8,568.1,360.0
546.1,410.3,456.8,615.9,280.0
465.6,431.7,483.6,532.2,300.0
443.9,587.3,491.7,463.4,260.0
437.7,486.0,482.4,423.0,360.0
458.4,453.8,552.4,407.8,340.0
368.4,558.5,491.4,385.2,360.0
466.9,487.4,492.0,555.2,480.0
666.0,727.7,683.8,706.1,940.0
571.2,640.6,594.1,627.3,680.0
495.7,638.1,629.9,653.9,740.0
535.7,630.2,585.5,716.3,780.0
386.5,592.8,469.6,390.6,600.0
451.1,564.2,569.4,509.5,500.0
462.7,647.0,597.6,610.5,760.0
405.3,504.0,566.4,445.5,460.0
430.3,448.1,432.4,613.1,360.0
454.3,601.6,517.6,454.5,360.0
515.1,611.0,489.4,490.1,480.0
574.0,646.2,611.6,624.0,800.0
460.8,625.0,551.6,527.2,400.0
533.2,597.3,498.5,512.9,460.0
388.5,472.8,510.3,547.5,260.0
524.8,615.0,502.7,499.0,320.0
529.6,638.9,625.5,602.5,740.0
540.4,607.6,571.1,587.1,540.0
517.6,580.1,429.9,379.4,360.0
628.1,654.7,601.6,712.6,960.0
455.6,620.8,509.5,535.6,600.0
474.1,582.3,456.1,549.6,660.0
462.5,616.1,585.3,511.0,600.0
402.1,494.9,534.6,518.1,300.0
457.4,646.2,551.8,493.3,680.0
707.1,724.1,670.2,860.9,840.0
499.2,545.7,609.7,510.8,680.0
468.3,500.7,397.2,476.0,500.0
446.2,612.1,525.8,553.3,380.0
493.2,569.3,404.2,436.4,600.0
539.0,461.4,524.7,387.2,560.0
547.0,664.9,655.8,698.8,800.0
510.2,484.1,517.8,540.7,660.0
391.2,478.6,393.9,468.1,0.0
392.5,468.8,483.1,526.0,460.0
604.7,451.0,578.6,782.8,760.0
559.1,595.2,554.9,565.0,700.0
595.1,616.3,507.0,527.9,380.0
537.1,615.4,545.5,616.5,340.0
638.7,656.5,622.3,716.0,880.0
458.6,470.8,517.9,408.9,560.0
571.9,650.7,631.5,625.0,740.0
570.9,635.3,508.3,555.9,820.0
504.9,615.1,492.4,515.2,320.0
419.6,624.6,517.8,442.9,340.0
543.1,597.5,520.6,540.5,680.0
621.0,684.7,670.2,658.6,880.0
437.2,543.1,559.3,528.6,580.0
428.8,524.3,473.7,484.8,340.0
524.3,606.5,470.8,485.7,360.0
405.5,582.1,449.0,408.2,360.0
452.8,562.8,521.3,598.1,540.0
448.9,537.1,500.8,495.5,380.0
424.1,556.0,521.6,379.0,640.0
420.9,569.1,461.5,570.7,720.0
448.1,543.3,490.5,520.3,520.0
549.0,679.2,600.2,684.5,820.0
521.6,572.9,455.5,501.3,320.0
445.9,473.2,506.5,377.8,360.0
442.6,448.1,519.1,408.4,340.0
537.9,569.9,342.2,408.3,220.0
561.5,634.0,540.5,646.7,620.0
560.9,649.0,607.4,555.7,680.0
415.8,0.0,0.0,414.3,320.0
436.7,619.7,542.0,639.0,520.0
431.0,547.6,547.8,496.8,620.0
502.2,588.1,459.9,474.6,560.0
530.5,587.4,558.0,402.6,720.0
660.6,694.1,622.0,746.9,680.0
575.2,671.5,684.1,704.0,720.0
517.4,447.0,600.3,528.6,560.0
441.4,616.7,525.1,435.3,320.0
486.2,536.4,477.8,490.9,580.0
542.0,656.3,551.7,514.6,560.0
518.2,462.0,486.9,514.5,580.0
451.9,431.9,509.7,481.6,360.0
462.5,608.1,552.9,547.5,740.0
431.7,611.6,545.2,449.0,740.0
463.3,573.5,492.2,460.3,600.0
567.0,633.0,584.7,480.1,520.0
463.3,452.2,514.5,497.8,320.0
566.3,632.2,574.6,608.7,560.0
422.3,464.7,520.7,467.4,260.0
437.8,589.7,566.8,393.7,560.0
601.6,679.1,659.5,661.5,660.0
502.7,522.3,465.8,420.3,560.0
710.4,711.3,652.0,867.5,680.0
425.3,430.3,502.9,646.5,480.0
561.4,452.1,526.9,512.4,640.0
409.2,595.3,574.9,527.5,760.0
573.8,614.3,558.4,559.5,540.0
399.7,598.9,505.9,559.6,620.0
547.3,667.4,598.1,603.8,540.0
469.7,470.0,515.4,664.6,340.0
547.1,679.4,608.8,721.4,860.0
483.9,547.5,474.9,403.4,380.0
470.0,615.6,574.8,717.5,720.0
412.1,442.4,510.7,558.8,520.0
413.5,615.6,531.4,434.3,540.0
559.1,698.3,629.8,695.7,540.0
397.0,504.8,510.9,596.3,620.0
414.3,436.2,503.7,509.5,440.0
711.3,702.1,671.0,870.7,980.0
444.1,658.5,586.3,492.3,700.0
488.8,687.5,639.6,467.1,720.0
477.6,546.3,542.5,490.2,420.0
410.5,540.0,546.8,410.6,360.0
497.1,590.3,558.9,518.6,440.0
734.8,718.2,677.5,616.8,820.0
510.3,401.2,367.5,460.0,280.0
448.1,459.2,526.0,502.6,0.0
620.3,671.8,618.2,735.3,780.0
527.2,633.9,559.7,525.1,380.0
499.8,603.0,558.4,531.3,340.0
468.4,645.0,590.2,525.9,740.0
488.0,541.1,527.2,532.9,380.0
597.8,643.9,557.0,541.3,860.0
408.6,508.2,407.0,442.4,320.0
506.4,627.4,544.1,505.8,600.0
404.1,516.1,459.0,527.2,500.0
443.4,437.4,452.4,556.9,340.0
545.7,590.6,555.8,569.7,340.0
510.2,532.8,434.5,403.0,440.0
495.0,625.8,527.4,484.3,620.0
537.6,645.1,574.9,589.1,440.0
419.4,563.5,520.7,428.7,560.0
538.4,611.5,609.1,711.2,560.0
453.5,539.1,463.0,514.4,540.0
388.1,565.2,590.1,523.9,760.0
584.7,576.8,557.5,579.2,460.0
533.3,606.2,563.6,549.0,460.0
501.0,643.6,563.3,427.8,360.0
482.6,591.7,566.6,396.2,660.0
503.5,600.5,643.6,713.7,740.0
427.9,573.7,525.7,460.1,560.0
439.0,513.0,550.2,498.3,480.0
391.0,493.5,491.3,557.3,240.0
392.4,579.5,592.3,503.9,760.0
579.5,661.6,631.8,617.8,800.0
461.1,482.1,445.0,459.8,340.0
442.8,552.9,402.9,441.0,260.0
460.0,411.8,414.8,377.0,120.0
510.3,486.4,502.4,455.7,300.0
429.5,515.6,540.5,504.3,520.0
561.7,478.0,538.6,441.3,540.0
487.6,552.3,539.8,695.2,620.0
682.2,708.5,697.2,765.5,940.0
492.3,504.7,531.2,496.0,360.0
492.6,544.7,542.9,515.1,560.0
437.2,544.0,473.7,445.3,280.0
463.5,589.1,482.4,457.8,360.0
406.6,640.7,505.5,456.4,640.0
408.4,555.1,555.5,607.9,520.0
450.5,608.9,571.8,505.5,500.0
507.6,620.8,495.0,530.7,840.0
653.7,646.8,578.4,552.7,740.0
430.4,394.8,509.2,516.1,460.0
440.5,603.4,515.9,472.7,560.0
551.5,652.6,613.7,471.8,580.0
451.0,601.7,479.6,619.0,340.0
466.3,549.7,446.2,504.7,400.0
506.7,614.0,525.8,643.5,320.0
417.9,425.9,444.5,415.7,300.0
619.6,702.9,665.2,744.6,640.0
559.9,677.0,586.5,446.5,520.0
482.8,629.3,479.3,378.6,580.0
632.5,676.5,627.6,616.5,680.0
634.2,684.3,598.7,685.8,840.0
461.5,588.7,520.1,509.6,480.0
504.5,474.8,537.8,602.7,580.0
535.4,607.5,596.2,551.9,520.0
547.4,585.2,551.7,562.1,380.0
536.6,629.1,572.8,545.4,680.0
606.4,674.6,653.7,701.0,700.0
564.1,623.6,613.7,653.7,800.0
620.8,649.9,627.6,818.5,560.0
531.3,584.3,591.0,509.7,660.0
475.2,655.1,566.4,487.1,680.0
557.0,648.2,567.3,697.4,800.0
436.6,438.6,481.6,424.9,300.0
528.1,600.7,584.0,503.9,500.0
603.8,649.9,620.4,631.0,680.0
434.8,625.9,466.1,414.5,300.0
560.3,610.6,544.4,500.4,620.0
410.7,467.1,457.3,656.9,440.0
518.9,587.3,490.0,466.4,580.0
452.9,579.2,533.3,478.3,480.0
521.3,523.8,427.0,501.6,0.0
430.8,528.8,508.6,514.9,500.0
402.0,483.4,542.0,580.8,260.0
502.2,609.2,549.0,385.5,540.0
442.1,564.2,424.6,382.3,320.0
412.2,483.0,540.4,459.5,340.0
471.5,396.7,334.5,463.6,0.0
434.1,537.8,509.1,477.3,600.0
519.2,450.5,561.8,511.7,480.0
495.8,550.2,501.8,538.4,560.0
494.9,586.9,571.9,479.6,560.0
569.1,570.9,538.0,465.2,540.0
434.3,581.2,456.5,555.3,620.0
532.1,587.3,494.2,402.5,460.0
435.1,429.2,457.7,401.5,300.0
408.4,501.1,335.9,437.0,540.0
598.4,709.7,650.3,586.2,860.0
392.8,487.9,546.0,528.3,320.0
535.7,568.5,516.2,466.0,400.0
597.3,700.8,642.5,500.3,740.0
564.8,624.9,596.3,652.6,520.0
484.4,528.9,519.7,419.6,680.0
508.8,611.1,532.3,379.3,360.0
421.1,552.2,472.1,438.3,0.0
690.5,689.9,608.4,702.7,860.0
694.8,718.5,617.6,757.1,720.0
422.9,537.6,504.6,485.3,540.0
498.8,605.9,506.6,390.6,320.0
550.9,685.9,636.6,664.2,740.0
391.4,533.7,520.4,506.2,540.0
440.0,631.4,560.8,732.6,560.0
620.4,654.0,608.8,753.4,880.0
407.6,598.7,507.5,512.9,560.0
462.3,563.8,596.7,545.2,300.0
457.1,499.9,412.1,401.8,400.0
582.8,647.8,642.3,548.0,540.0
443.7,611.0,480.0,387.4,420.0
485.0,663.6,607.9,518.5,640.0
459.0,643.1,583.9,527.6,560.0
422.3,400.2,456.5,511.2,300.0
519.1,579.9,565.7,452.2,520.0
587.8,650.1,606.7,589.3,640.0
682.1,727.7,643.1,766.9,820.0
652.1,696.9,613.5,671.1,940.0
455.8,562.7,537.9,487.6,640.0
514.9,639.1,575.7,667.9,580.0
566.1,605.0,492.6,415.9,580.0
427.9,449.7,588.4,528.8,820.0
645.9,658.5,558.1,728.2,860.0
432.4,617.3,495.5,529.2,600.0
446.9,668.3,553.1,658.3,640.0
575.8,658.4,606.7,724.0,320.0
439.3,524.4,464.2,564.8,500.0
617.2,655.7,668.0,656.4,760.0
473.2,625.5,609.3,498.7,640.0
656.2,698.7,663.7,717.8,860.0
476.2,609.6,586.8,470.4,500.0
583.9,648.0,596.7,487.8,520.0
448.8,603.9,543.3,479.7,460.0
394.7,469.4,419.5,559.7,300.0
414.1,597.1,451.3,522.2,520.0
476.0,525.9,524.1,525.1,540.0
430.1,451.4,533.2,639.1,700.0
569.3,664.1,628.1,743.7,720.0
501.6,629.8,519.9,613.9,500.0
637.0,680.1,619.3,684.4,960.0
446.7,641.2,468.1,427.9,340.0
484.5,599.6,481.6,426.2,280.0
573.2,662.8,650.0,734.9,760.0
449.2,617.9,550.5,543.5,400.0
604.4,602.8,560.6,442.0,940.0
515.8,514.1,446.9,388.1,320.0
425.5,474.0,411.6,479.1,320.0
590.8,622.1,494.2,502.4,400.0
489.7,616.7,642.3,549.7,680.0
452.3,632.8,536.7,549.8,300.0
478.8,580.5,492.0,485.9,560.0
431.9,464.6,420.4,460.0,340.0
394.3,642.2,580.7,541.1,520.0
385.1,493.5,494.1,388.9,560.0
482.7,625.3,547.8,557.5,800.0
548.2,627.1,564.0,474.5,540.0
594.5,644.4,616.3,676.2,340.0
604.4,639.0,600.8,540.1,580.0
526.2,614.0,613.7,513.8,860.0
635.1,667.1,595.1,754.6,840.0
528.8,586.5,497.5,586.1,280.0
374.1,461.5,593.3,587.6,640.0
552.2,597.1,440.0,505.6,360.0
432.2,523.7,412.5,469.3,440.0
409.3,512.3,505.3,429.0,540.0
440.1,610.4,550.5,408.5,660.0
503.3,571.7,477.4,555.2,320.0
590.9,673.9,612.4,647.2,480.0
363.4,529.9,397.6,469.4,400.0
415.9,570.2,552.9,548.8,400.0
443.4,502.9,426.2,446.1,540.0
611.5,627.4,601.6,638.3,640.0
625.7,644.0,596.5,655.7,820.0
523.5,655.3,555.0,462.6,880.0
618.7,706.6,666.0,740.5,800.0
491.9,520.7,501.6,431.9,560.0
493.6,609.8,562.3,459.9,340.0
487.8,591.1,488.3,577.7,420.0
419.6,398.7,393.7,444.6,280.0
396.3,507.7,362.2,410.2,440.0
529.7,633.1,567.5,558.6,220.0
490.5,590.5,543.8,597.8,360.0
468.8,555.4,447.2,513.1,260.0
576.5,621.4,505.6,656.0,560.0
438.0,604.8,557.2,541.8,420.0
421.3,402.7,501.1,496.7,360.0
543.0,604.9,634.6,657.4,840.0
