ID,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_MT,NU_NOTA_REDACAO
2804,545.3,607.0,588.3,880.0
2805,473.6,540.2,492.4,700.0
2806,431.5,611.3,557.3,320.0
2807,418.2,506.6,469.4,320.0
2808,600.2,702.2,758.7,720.0
2809,556.9,631.0,454.3,600.0
2810,521.7,586.5,486.2,640.0
2811,495.5,549.5,624.7,460.0
2812,420.1,569.2,526.7,500.0
2813,595.7,561.0,593.6,420.0
2814,495.6,589.9,486.2,760.0
2815,529.9,497.1,514.5,540.0
2816,519.7,609.6,509.4,540.0
2817,385.5,440.2,443.0,300.0
2818,494.0,664.7,675.5,520.0
2819,619.9,663.1,699.3,720.0
2820,492.6,562.9,521.2,440.0
2821,511.2,604.8,530.3,260.0
2822,576.3,640.0,603.8,640.0
2823,458.4,590.0,494.1,520.0
2824,441.0,584.1,553.9,500.0
2825,519.4,536.1,508.0,380.0
2826,573.6,632.4,710.7,900.0
2827,503.7,601.8,481.4,400.0
2828,555.9,511.5,490.4,420.0
2829,426.9,696.1,680.9,800.0
2830,408.2,501.1,593.1,380.0
2831,574.3,630.8,483.1,720.0
2832,603.5,658.0,683.4,820.0
2833,495.6,660.2,782.2,920.0
2834,461.0,588.6,461.9,640.0
2835,638.5,658.8,732.9,680.0
2836,385.4,465.6,497.6,520.0
2837,438.5,559.5,507.4,460.0
2838,604.3,698.8,617.3,580.0
2839,518.4,567.9,481.4,460.0
2840,428.8,544.4,444.5,520.0
2841,577.5,642.2,449.4,700.0
2842,465.6,434.8,434.4,560.0
2843,616.6,636.2,671.1,760.0
2844,381.9,467.0,455.3,300.0
2845,409.1,439.9,558.8,360.0
2846,445.1,627.2,474.9,700.0
2847,463.7,619.4,399.2,520.0
2848,496.6,622.2,466.1,360.0
2849,570.3,654.0,654.9,680.0
2850,434.3,421.6,561.2,460.0
2851,515.0,626.9,564.6,0.0
2852,505.0,627.0,572.0,900.0
2853,503.8,573.1,524.4,540.0
2854,448.1,516.2,441.3,340.0
2855,555.0,535.2,444.3,340.0
2856,519.8,655.4,675.6,580.0
2857,425.5,665.8,437.9,820.0
2858,588.4,659.6,611.6,640.0
2859,573.5,456.5,483.1,360.0
2860,705.5,727.4,760.4,940.0
2861,544.9,616.3,684.9,800.0
2862,558.6,588.1,540.9,340.0
2863,397.9,580.6,460.3,360.0
2864,575.8,721.1,645.1,760.0
2865,523.5,572.2,495.4,320.0
2866,469.6,427.3,381.8,420.0
2867,382.6,560.3,390.9,360.0
2868,469.1,444.1,454.0,520.0
2869,734.6,740.0,802.1,940.0
2870,532.7,499.3,688.8,540.0
2871,506.9,562.5,389.3,360.0
2872,539.5,620.8,583.2,660.0
2873,645.3,654.1,836.8,960.0
2874,553.6,657.5,596.9,640.0
2875,501.4,557.8,609.4,400.0
2876,447.3,578.6,516.8,440.0
2877,648.4,701.8,687.5,720.0
2878,466.9,616.0,477.1,540.0
2879,521.7,640.5,591.0,560.0
2880,461.8,432.9,546.7,560.0
2881,402.2,548.6,536.8,440.0
2882,544.7,497.5,547.7,640.0
2883,468.2,613.1,536.9,700.0
2884,420.6,530.6,402.5,340.0
2885,521.2,616.3,385.4,540.0
2886,444.6,608.3,501.2,0.0
2887,374.7,481.1,456.4,500.0
2888,603.6,638.5,492.7,720.0
2889,442.0,509.8,392.8,340.0
2890,681.8,703.6,697.5,920.0
2891,528.0,668.2,633.7,800.0
2892,419.2,537.5,497.9,500.0
2893,577.5,669.5,736.3,760.0
2894,519.3,605.8,515.8,800.0
2895,532.6,615.4,610.1,360.0
2896,553.9,671.2,648.7,0.0
2897,493.4,500.0,513.5,0.0
2898,542.4,607.8,644.1,740.0
2899,634.1,640.4,531.3,600.0
2900,416.3,606.2,417.8,460.0
2901,420.1,403.7,447.7,340.0
2902,509.0,628.3,496.5,360.0
2903,465.7,644.8,693.1,360.0
2904,417.5,465.0,471.4,340.0
2905,486.2,564.9,559.2,360.0
2906,541.7,522.0,560.2,640.0
2907,397.4,431.3,456.8,480.0
2908,422.7,503.0,419.1,280.0
2909,524.5,608.7,517.5,560.0
2910,519.1,648.9,404.2,600.0
2911,526.5,494.7,519.8,340.0
2912,445.5,621.4,537.2,520.0
2913,447.2,619.8,431.4,600.0
2914,531.8,403.2,442.5,440.0
2915,428.5,583.2,453.4,600.0
2916,474.7,594.3,439.5,580.0
2917,560.5,588.5,636.1,520.0
2918,645.3,684.6,694.8,480.0
2919,528.5,620.7,556.8,820.0
2920,367.0,622.5,648.7,380.0
2921,585.2,631.5,509.0,340.0
2922,477.0,436.3,427.3,320.0
2923,533.6,439.2,547.9,560.0
2924,572.4,545.6,478.5,440.0
2925,603.1,653.9,670.6,700.0
2926,636.3,673.8,740.5,740.0
2927,495.1,646.5,482.9,720.0
2928,432.7,531.2,519.8,500.0
2929,408.6,597.5,589.7,360.0
2930,483.5,554.4,677.2,320.0
2931,592.2,693.0,624.4,640.0
2932,631.1,664.0,617.1,560.0
2933,561.0,630.3,635.5,820.0
2934,511.5,462.5,514.1,540.0
2935,448.5,558.0,450.8,480.0
2936,488.3,557.1,509.1,320.0
2937,542.7,588.7,718.7,540.0
2938,541.0,659.9,627.0,600.0
2939,680.0,660.7,781.2,760.0
2940,453.3,597.2,405.3,300.0
2941,595.3,685.6,696.5,880.0
2942,438.6,505.7,487.9,520.0
2943,504.2,648.2,383.9,920.0
2944,492.3,622.3,616.7,700.0
2945,400.0,492.2,473.2,520.0
2946,504.1,632.2,559.9,540.0
2947,487.4,641.9,603.6,420.0
2948,406.2,555.7,507.6,600.0
2949,433.0,605.6,574.9,640.0
2950,443.9,583.0,620.2,560.0
2951,507.5,627.6,480.5,540.0
2952,528.5,642.4,556.2,360.0
2953,466.5,633.3,561.7,640.0
2954,501.5,586.8,528.1,300.0
2955,584.5,686.9,735.9,780.0
2956,481.2,595.7,645.3,360.0
2957,495.7,639.6,507.7,780.0
2958,413.0,604.1,592.7,320.0
2959,622.4,694.6,714.1,780.0
2960,583.6,651.2,636.2,700.0
2961,523.5,504.7,598.7,600.0
2962,412.3,598.7,491.8,620.0
2963,507.8,616.0,546.7,560.0
2964,751.8,687.1,787.1,700.0
2965,597.8,534.3,714.6,540.0
2966,477.6,502.1,526.3,520.0
2967,576.2,603.1,466.5,620.0
2968,675.9,747.7,756.9,840.0
2969,503.9,617.5,501.7,360.0
2970,497.3,607.5,584.3,340.0
2971,510.6,633.1,662.5,620.0
2972,585.5,664.6,478.5,800.0
2973,732.4,702.3,762.5,940.0
2974,500.0,441.8,552.8,360.0
2975,378.9,568.9,443.0,600.0
2976,478.4,443.5,386.3,480.0
2977,413.4,543.9,510.0,360.0
2978,529.3,545.1,507.3,280.0
2979,587.2,659.5,543.4,880.0
2980,440.3,445.3,438.3,500.0
2981,548.4,650.0,626.4,480.0
2982,504.9,613.6,430.7,360.0
2983,454.9,515.9,528.0,560.0
2984,483.6,475.6,681.2,500.0
2985,487.5,625.2,594.8,660.0
2986,582.8,668.9,448.1,880.0
2987,561.6,636.1,538.9,800.0
2988,564.9,651.7,597.2,740.0
2989,401.0,437.2,492.7,260.0
2990,487.5,601.9,461.3,720.0
2991,455.7,485.1,423.7,580.0
2992,414.3,606.6,445.2,740.0
2993,449.9,456.4,533.1,580.0
2994,625.6,695.3,517.7,700.0
2995,566.8,522.3,589.0,520.0
2996,379.0,404.2,408.7,260.0
2997,611.2,625.3,456.0,500.0
2998,439.7,554.0,442.4,520.0
2999,680.1,706.5,678.7,900.0
3000,419.5,478.6,600.1,580.0
3001,452.2,645.2,462.4,680.0
3002,486.4,539.7,637.7,740.0
3003,422.4,456.9,424.7,340.0
3004,562.2,626.6,490.5,660.0
3005,455.8,556.7,477.1,520.0
3006,413.5,570.2,449.2,280.0
3007,653.0,723.8,767.9,720.0
3008,428.3,477.6,609.9,380.0
3009,480.5,413.6,516.4,320.0
3010,495.3,514.6,385.1,360.0
3011,560.7,620.2,483.0,360.0
3012,398.7,495.1,474.4,340.0
3013,447.9,541.5,507.9,400.0
3014,569.3,623.2,559.8,660.0
3015,509.2,410.9,453.7,640.0
3016,415.7,565.0,444.3,640.0
3017,494.4,638.5,542.6,700.0
3018,440.1,507.9,396.2,0.0
3019,466.3,566.8,455.4,540.0
3020,427.0,563.4,630.9,460.0
3021,520.0,685.9,676.5,520.0
3022,440.3,520.2,565.0,580.0
3023,446.8,569.8,423.5,620.0
3024,459.3,485.6,548.7,600.0
3025,786.3,711.1,830.6,920.0
3026,583.4,615.4,576.0,540.0
3027,470.2,502.4,448.9,320.0
3028,599.3,635.9,519.0,540.0
3029,566.7,630.7,645.5,460.0
3030,578.3,640.3,541.1,760.0
3031,410.3,573.0,379.6,480.0
3032,418.2,549.1,507.5,360.0
3033,439.5,594.0,421.6,600.0
3034,609.6,634.5,738.4,700.0
3035,564.3,613.6,407.9,660.0
3036,533.6,671.1,559.8,880.0
3037,589.9,650.5,535.0,640.0
3038,518.8,420.6,487.8,760.0
3039,435.5,608.6,404.4,720.0
3040,402.7,420.2,400.4,400.0
3041,663.6,674.8,674.6,900.0
3042,451.3,408.2,383.1,480.0
3043,393.8,474.5,462.3,320.0
3044,531.3,640.4,592.9,480.0
3045,524.1,644.0,454.2,600.0
3046,415.0,478.6,440.7,560.0
3047,566.9,618.5,587.7,860.0
3048,583.4,646.9,566.4,780.0
3049,541.7,522.7,496.9,520.0
3050,391.8,535.1,573.6,400.0
3051,467.1,538.2,558.2,500.0
3052,652.8,670.0,717.9,840.0
3053,500.5,530.2,507.8,600.0
3054,630.9,670.4,761.4,880.0
3055,502.8,634.5,588.7,460.0
3056,534.4,597.7,544.3,620.0
3057,580.1,643.3,677.4,980.0
3058,667.5,673.7,734.6,580.0
3059,599.6,668.4,713.1,800.0
3060,453.6,580.4,401.3,620.0
3061,439.2,601.1,387.4,280.0
3062,406.4,415.3,400.3,500.0
3063,513.9,552.8,483.0,340.0
3064,511.7,488.7,558.2,360.0
3065,611.6,668.6,607.2,680.0
3066,487.0,657.7,534.1,680.0
3067,523.3,608.0,545.9,480.0
3068,494.1,593.0,512.2,620.0
3069,476.6,568.2,486.2,380.0
3070,486.5,560.7,613.0,280.0
3071,490.6,596.5,473.1,380.0
3072,380.3,417.8,391.6,600.0
3073,471.5,438.0,449.8,320.0
3074,415.6,477.1,435.7,340.0
3075,430.9,445.7,508.8,400.0
3076,416.1,581.5,443.1,0.0
3077,402.6,586.7,446.6,340.0
3078,501.1,441.9,393.1,340.0
3079,445.8,595.0,559.3,380.0
3080,478.9,569.1,586.8,360.0
3081,413.3,569.2,414.7,520.0
3082,744.8,697.3,790.1,920.0
3083,402.4,465.6,469.4,620.0
3084,610.6,646.7,645.6,660.0
3085,510.7,619.2,410.0,540.0
3086,607.3,648.6,701.7,640.0
3087,427.0,447.9,571.1,380.0
3088,486.7,494.4,532.2,520.0
3089,671.0,658.5,710.1,600.0
3090,454.3,624.9,523.4,560.0
3091,563.3,482.1,540.1,520.0
3092,500.8,657.4,457.7,620.0
3093,459.3,627.5,460.9,700.0
3094,430.1,443.0,383.7,300.0
3095,470.2,639.8,470.4,640.0
3096,456.5,594.9,504.0,680.0
3097,553.8,642.1,613.6,360.0
3098,403.0,603.5,520.8,320.0
3099,415.6,535.8,458.4,340.0
3100,428.4,597.1,462.4,520.0
3101,437.3,624.4,460.5,340.0
3102,479.6,592.3,557.8,800.0
3103,411.3,651.3,516.9,440.0
3104,450.3,454.3,515.5,340.0
3105,452.2,454.9,498.4,420.0
3106,519.8,604.7,515.2,380.0
3107,429.8,522.0,395.4,340.0
3108,460.1,482.8,487.8,420.0
3109,465.7,551.2,446.6,680.0
3110,554.8,674.1,653.2,580.0
3111,388.7,471.8,421.9,400.0
3112,514.3,619.8,613.9,620.0
3113,578.4,636.1,393.7,840.0
3114,370.1,474.5,394.3,240.0
3115,622.0,663.5,660.4,760.0
3116,609.9,619.1,386.5,860.0
3117,566.0,704.9,784.0,700.0
3118,484.3,622.8,510.9,360.0
3119,579.3,645.4,643.3,740.0
3120,505.3,592.3,470.1,560.0
3121,407.2,482.7,604.5,520.0
3122,425.5,550.9,408.4,0.0
3123,450.8,633.2,516.2,560.0
3124,443.6,475.8,563.3,320.0
3125,530.2,629.5,540.6,660.0
3126,576.4,628.4,750.5,700.0
3127,425.6,575.8,603.7,640.0
3128,557.8,616.9,443.9,520.0
3129,626.9,673.9,700.5,960.0
3130,617.2,627.2,638.5,860.0
3131,403.9,576.0,582.9,360.0
3132,566.8,627.1,626.6,580.0
3133,563.7,634.9,572.7,580.0
3134,430.2,545.8,542.6,400.0
3135,620.0,620.3,723.2,580.0
3136,520.4,451.8,407.2,680.0
3137,439.1,523.7,441.6,400.0
3138,490.5,593.7,559.0,540.0
3139,476.6,446.6,533.9,260.0
3140,451.4,520.9,506.1,700.0
3141,484.8,602.5,496.3,460.0
3142,542.3,603.1,475.8,380.0
3143,556.7,705.7,724.7,820.0
3144,417.4,603.9,471.6,500.0
3145,429.3,599.4,579.9,600.0
3146,511.9,571.3,566.5,700.0
3147,539.1,631.5,579.9,720.0
3148,539.9,614.2,611.6,620.0
3149,638.3,696.8,778.2,840.0
3150,415.7,513.8,456.7,460.0
3151,408.0,599.5,402.8,420.0
3152,527.5,523.5,620.1,520.0
3153,411.5,518.2,485.4,260.0
3154,512.3,564.4,551.2,400.0
3155,493.1,522.8,441.9,440.0
3156,518.2,570.4,629.8,560.0
3157,588.9,660.3,759.3,480.0
3158,434.2,480.4,517.9,480.0
3159,405.8,406.7,448.2,540.0
3160,467.0,582.3,619.7,340.0
3161,414.8,561.4,438.9,540.0
3162,454.6,595.6,382.7,320.0
3163,472.9,611.6,608.6,600.0
3164,419.6,562.5,480.3,560.0
3165,423.7,529.5,524.1,480.0
3166,612.8,652.7,756.9,480.0
3167,453.6,630.4,561.2,360.0
3168,464.4,641.0,567.9,780.0
3169,485.5,543.6,611.9,620.0
3170,439.0,542.9,437.6,320.0
3171,562.7,599.1,580.6,580.0
3172,467.9,612.1,438.8,540.0
3173,422.1,438.0,509.3,340.0
3174,491.4,584.3,610.5,800.0
3175,459.9,582.6,462.2,480.0
3176,387.2,467.7,448.0,440.0
3177,443.8,641.6,655.8,720.0
3178,623.0,662.3,703.3,800.0
3179,526.8,582.0,527.4,340.0
3180,522.1,628.2,674.1,600.0
3181,408.0,542.0,465.0,540.0
3182,472.8,552.3,458.5,440.0
3183,505.8,520.6,607.1,320.0
3184,637.5,649.0,667.3,720.0
3185,481.3,632.2,437.4,800.0
3186,631.0,547.3,478.7,640.0
3187,444.0,517.7,393.3,540.0
3188,629.4,682.7,711.8,720.0
3189,590.0,682.8,714.1,400.0
3190,478.7,453.6,558.8,320.0
3191,486.2,627.2,695.1,580.0
3192,432.8,431.0,474.5,600.0
3193,544.3,652.9,658.9,780.0
3194,474.6,657.3,549.1,640.0
3195,424.8,507.8,432.8,280.0
3196,471.9,541.0,411.3,280.0
3197,461.2,481.1,400.4,460.0
3198,575.2,404.4,442.4,260.0
3199,573.5,641.9,722.8,420.0
3200,461.7,535.5,458.0,400.0
3201,460.0,625.0,435.0,480.0
3202,499.8,617.3,443.6,320.0
3203,532.4,484.8,570.1,300.0
3204,423.2,556.0,392.7,600.0
3205,451.4,610.6,422.3,560.0
3206,567.6,614.9,627.3,360.0
3207,485.9,629.2,512.8,320.0
3208,429.2,614.1,500.8,700.0
3209,432.2,645.1,562.7,620.0
3210,564.5,630.8,557.1,760.0
3211,540.4,555.7,618.3,700.0
3212,457.4,538.7,405.8,600.0
3213,430.2,520.7,437.9,260.0
3214,543.8,630.0,587.6,240.0
3215,641.9,668.2,699.2,520.0
3216,447.9,504.9,525.5,440.0
3217,499.8,583.3,613.6,600.0
3218,675.0,714.1,722.1,720.0
3219,447.2,589.3,416.6,500.0
3220,699.5,703.9,751.9,880.0
3221,450.1,444.2,488.7,360.0
3222,446.2,557.8,672.6,360.0
3223,415.3,524.8,466.3,580.0
3224,411.7,540.9,549.9,600.0
3225,567.9,518.4,419.0,360.0
3226,497.5,585.4,424.7,260.0
3227,544.0,535.4,459.6,660.0
3228,477.4,549.7,522.7,300.0
3229,609.0,670.5,670.9,620.0
3230,452.8,640.0,430.5,680.0
3231,451.7,484.2,440.1,480.0
3232,515.1,621.1,482.5,580.0
3233,401.8,469.3,435.2,360.0
3234,411.2,606.6,559.1,680.0
3235,433.4,621.9,558.1,480.0
3236,522.6,660.1,610.3,680.0
3237,489.7,622.5,442.6,300.0
3238,561.1,473.6,567.2,720.0
3239,485.3,611.6,515.3,840.0
3240,491.2,631.9,501.0,780.0
3241,522.8,434.2,609.5,0.0
3242,482.4,454.9,444.7,460.0
3243,391.2,622.2,446.4,760.0
3244,688.5,687.8,716.0,500.0
3245,400.1,600.0,535.7,580.0
3246,379.5,628.0,493.4,600.0
3247,440.6,579.9,406.0,260.0
3248,518.8,679.9,533.4,600.0
3249,460.7,627.1,545.7,520.0
3250,431.7,433.5,473.9,380.0
3251,479.4,566.6,488.9,440.0
3252,427.4,459.0,606.1,200.0
3253,557.2,636.7,566.6,600.0
3254,576.5,600.0,598.5,780.0
3255,499.2,601.0,563.0,720.0
3256,422.9,474.3,493.5,500.0
3257,598.8,649.7,682.4,380.0
3258,489.8,596.7,531.2,640.0
3259,486.2,562.6,458.6,520.0
3260,487.5,577.2,585.5,640.0
3261,418.9,539.5,442.0,560.0
3262,595.0,664.6,743.3,780.0
3263,486.7,645.6,555.4,740.0
3264,429.4,577.5,538.6,540.0
3265,503.3,652.7,480.6,600.0
3266,684.2,719.8,763.0,860.0
3267,480.9,638.9,662.5,620.0
3268,578.8,673.7,717.2,420.0
3269,655.6,675.3,801.1,620.0
3270,558.0,656.4,674.1,600.0
3271,493.8,611.9,444.6,500.0
3272,481.4,466.6,420.6,300.0
3273,527.3,587.5,557.5,360.0
3274,522.9,586.4,530.2,340.0
3275,448.1,450.1,465.0,280.0
3276,461.9,530.8,421.1,320.0
3277,531.9,518.5,459.6,440.0
3278,403.3,492.4,447.2,320.0
3279,530.1,652.8,590.9,560.0
3280,406.9,421.0,418.2,480.0
3281,535.0,649.5,537.9,620.0
3282,512.2,663.7,564.7,320.0
3283,723.1,735.6,888.8,960.0
3284,374.2,451.7,503.2,280.0
3285,527.7,657.8,605.0,580.0
3286,523.6,609.3,431.9,380.0
3287,558.4,516.3,462.1,320.0
3288,396.6,545.7,510.8,0.0
3289,564.1,680.3,486.7,560.0
3290,477.6,501.7,589.3,380.0
3291,461.7,556.3,532.1,320.0
3292,559.6,679.5,597.2,560.0
3293,427.4,532.7,537.3,580.0
3294,440.0,534.0,468.7,620.0
3295,421.2,486.8,473.3,480.0
3296,454.4,592.5,507.1,800.0
3297,410.1,509.7,454.5,440.0
3298,614.6,686.6,599.3,940.0
3299,457.7,509.6,389.1,480.0
3300,445.1,659.3,495.3,480.0
3301,446.2,624.3,472.1,460.0
3302,382.4,538.5,468.4,360.0
3303,434.8,634.6,406.5,0.0
3304,471.8,521.4,609.8,420.0
3305,381.0,452.0,499.6,420.0
3306,522.7,499.5,434.6,400.0
3307,585.5,645.3,677.4,740.0
3308,509.3,568.5,514.2,320.0
3309,477.6,627.0,555.5,400.0
3310,407.4,581.0,407.5,340.0
3311,552.3,615.0,472.4,920.0
3312,576.9,624.1,624.1,920.0
3313,364.5,571.5,438.4,340.0
3314,507.9,592.9,470.1,700.0
3315,384.3,539.7,504.9,500.0
3316,602.0,612.0,579.2,600.0
3317,435.9,594.0,459.9,600.0
3318,577.9,584.7,692.2,620.0
3319,507.6,633.0,385.7,780.0
3320,536.3,635.6,490.4,880.0
3321,515.9,591.0,425.1,360.0
3322,428.5,607.6,499.4,540.0
3323,725.4,734.2,809.0,960.0
3324,538.3,553.6,471.2,500.0
3325,464.5,588.7,574.1,280.0
3326,441.3,544.3,475.1,440.0
3327,553.4,654.1,672.7,840.0
3328,461.1,592.8,522.7,360.0
3329,550.0,533.6,541.1,320.0
3330,519.4,641.6,575.8,700.0
3331,544.0,532.5,477.9,660.0
3332,576.3,641.2,579.3,620.0
3333,536.6,571.3,528.7,460.0
3334,370.3,416.5,462.2,360.0
3335,464.8,618.3,507.3,520.0
3336,466.1,618.8,591.9,760.0
3337,564.1,642.3,584.9,580.0
3338,632.3,728.8,760.5,900.0
3339,452.4,539.3,390.6,300.0
3340,591.2,614.3,537.7,480.0
3341,615.2,628.1,709.8,540.0
3342,420.6,607.4,513.7,560.0
3343,491.0,619.5,619.4,740.0
3344,428.9,513.5,456.7,600.0
3345,428.5,614.8,510.2,280.0
3346,488.5,476.1,513.7,460.0
3347,683.6,659.7,811.2,960.0
3348,667.6,661.2,622.4,360.0
3349,450.7,516.9,483.6,300.0
3350,459.8,520.1,494.5,620.0
3351,474.6,633.6,471.0,640.0
3352,530.7,663.2,574.4,0.0
3353,508.3,588.7,484.8,560.0
3354,485.2,492.4,573.2,300.0
3355,400.9,479.4,443.3,620.0
3356,436.1,509.6,567.8,340.0
3357,408.8,446.1,489.5,340.0
3358,429.3,549.5,453.8,520.0
3359,461.7,651.8,473.1,820.0
3360,450.9,560.8,505.2,320.0
3361,673.8,661.1,521.8,880.0
3362,609.2,663.4,771.8,620.0
3363,549.8,483.1,543.1,560.0
3364,389.7,563.3,427.4,480.0
3365,585.8,640.2,655.1,680.0
3366,426.4,471.3,424.9,600.0
3367,530.0,667.3,594.1,540.0
3368,641.7,664.2,697.7,660.0
3369,439.1,398.6,394.5,280.0
3370,497.4,563.2,484.7,0.0
3371,674.9,688.6,712.0,820.0
3372,495.1,571.0,528.8,540.0
3373,382.4,527.7,498.3,640.0
3374,517.7,646.7,685.3,440.0
3375,427.4,516.1,413.5,260.0
3376,493.9,505.5,590.7,320.0
3377,428.5,589.1,495.9,260.0
3378,435.2,633.3,518.4,720.0
3379,483.3,545.4,501.8,740.0
3380,459.6,618.8,691.9,740.0
3381,468.6,591.5,498.8,360.0
3382,454.9,421.7,577.2,500.0
3383,418.5,573.6,535.4,460.0
3384,574.0,659.5,668.1,660.0
3385,558.1,635.4,631.1,520.0
3386,469.0,529.5,462.9,440.0
3387,496.1,575.0,596.3,580.0
3388,601.0,587.7,469.7,700.0
3389,419.0,510.2,502.7,640.0
3390,481.1,492.3,532.3,740.0
3391,451.2,595.8,552.6,700.0
3392,504.8,532.2,637.4,420.0
3393,503.2,584.6,445.1,400.0
3394,557.9,641.8,677.8,460.0
3395,545.5,648.0,494.2,880.0
3396,633.4,683.1,681.8,840.0
3397,569.0,419.4,489.7,380.0
3398,461.2,584.3,598.4,700.0
3399,494.7,617.6,681.2,580.0
3400,484.7,617.0,528.8,340.0
3401,425.0,499.5,549.1,780.0
3402,428.1,538.1,435.1,520.0
3403,581.7,637.8,642.1,740.0
3404,533.4,670.3,584.3,640.0
3405,457.6,577.6,459.4,500.0
3406,530.6,605.4,610.9,480.0
3407,552.5,552.9,519.2,560.0
3408,468.7,530.4,473.0,480.0
3409,456.1,472.4,403.9,400.0
3410,473.8,657.5,503.7,660.0
3411,576.2,636.0,585.4,580.0
3412,439.9,538.3,460.7,260.0
3413,436.3,644.4,624.0,300.0
3414,560.4,613.0,456.0,620.0
3415,490.4,491.2,463.5,480.0
3416,584.1,602.9,718.6,820.0
3417,427.1,440.7,494.1,320.0
3418,439.8,562.2,473.4,460.0
3419,402.3,498.8,508.8,360.0
3420,426.0,565.9,425.4,260.0
3421,475.6,629.0,554.6,360.0
3422,388.4,596.5,487.0,360.0
3423,429.4,427.9,386.3,560.0
3424,480.2,612.3,581.3,880.0
3425,513.5,551.9,436.1,560.0
3426,401.3,565.4,554.8,560.0
3427,488.7,611.1,495.9,260.0
3428,450.6,579.0,564.2,340.0
3429,560.9,614.5,444.9,340.0
3430,461.3,426.5,376.6,700.0
3431,496.2,613.4,535.6,800.0
3432,440.4,423.7,397.9,340.0
3433,506.2,635.2,599.4,620.0
3434,538.8,548.6,447.7,460.0
3435,454.0,591.0,407.2,240.0
3436,426.3,468.2,486.1,320.0
3437,628.2,673.4,689.4,740.0
3438,528.6,637.4,691.6,780.0
3439,422.5,428.8,430.3,0.0
3440,399.1,504.3,437.2,700.0
3441,658.9,718.9,724.5,860.0
3442,618.5,595.9,474.1,560.0
3443,672.3,697.7,731.3,960.0
3444,433.6,516.5,409.2,540.0
3445,443.4,583.4,444.9,340.0
3446,522.6,516.3,665.5,500.0
3447,387.3,553.1,472.6,200.0
3448,464.7,562.6,524.2,480.0
3449,571.5,546.2,587.6,620.0
3450,397.1,445.7,400.4,440.0
3451,642.4,725.3,757.5,760.0
3452,566.0,647.5,649.5,560.0
3453,436.3,551.7,588.5,360.0
3454,483.6,588.0,746.4,700.0
3455,521.5,620.1,578.6,680.0
3456,515.2,640.0,485.0,600.0
3457,577.9,702.2,763.3,880.0
3458,438.9,608.9,517.9,360.0
3459,496.3,622.7,587.0,620.0
3460,438.5,412.5,461.6,520.0
3461,485.6,567.9,511.2,520.0
3462,552.2,625.6,644.0,620.0
3463,453.7,600.9,597.5,560.0
3464,433.8,574.7,458.1,360.0
3465,589.6,648.7,501.5,660.0
3466,548.2,591.4,593.4,420.0
3467,518.9,646.4,484.3,440.0
3468,553.4,600.9,518.4,680.0
3469,447.7,421.3,548.3,340.0
3470,391.9,498.1,464.2,480.0
3471,680.8,689.2,712.1,840.0
3472,419.9,536.4,397.8,600.0
3473,508.2,610.8,512.3,580.0
3474,664.4,688.1,795.7,840.0
3475,566.9,615.4,732.6,400.0
3476,503.2,462.9,485.3,540.0
3477,425.0,490.1,447.5,620.0
3478,448.1,615.2,632.9,620.0
3479,440.5,402.1,396.1,240.0
3480,363.3,603.2,495.7,600.0
3481,407.2,537.7,503.8,360.0
3482,665.9,694.3,679.3,900.0
3483,526.6,454.4,540.3,520.0
3484,501.1,621.0,563.1,540.0
3485,462.4,460.9,441.3,280.0
3486,546.7,630.5,524.8,880.0
3487,415.6,560.0,473.6,680.0
3488,608.5,608.5,517.7,640.0
3489,427.4,453.5,399.4,360.0
3490,465.5,607.3,435.3,600.0
3491,489.3,479.3,465.0,380.0
3492,505.5,572.1,442.2,240.0
3493,428.7,568.8,429.0,360.0
3494,565.5,665.9,578.4,840.0
3495,570.4,629.5,685.0,800.0
3496,451.3,494.3,550.5,360.0
3497,542.7,550.0,399.0,620.0
3498,484.2,544.4,403.9,340.0
3499,435.6,614.7,518.8,340.0
3500,451.4,633.8,594.7,580.0
3501,504.6,574.0,492.8,520.0
3502,512.0,646.0,549.4,680.0
3503,510.0,630.1,542.0,800.0
3504,402.0,578.8,513.3,620.0
3505,392.5,407.3,466.2,460.0
3506,573.7,621.7,562.8,460.0
3507,573.1,619.4,572.4,540.0
3508,506.1,621.7,632.9,440.0
3509,562.4,660.7,555.6,740.0
3510,497.6,430.6,534.9,360.0
3511,458.5,532.6,530.5,300.0
3512,458.3,411.2,504.1,620.0
3513,553.7,534.1,459.6,640.0
3514,533.4,636.0,428.9,560.0
3515,471.7,585.1,627.3,640.0
3516,500.4,616.4,624.9,640.0
3517,465.5,493.4,463.9,500.0
3518,569.0,673.2,716.3,960.0
3519,487.3,526.3,516.6,260.0
3520,403.5,563.2,401.9,120.0
3521,444.8,587.9,528.6,600.0
3522,588.2,607.0,536.7,640.0
3523,397.8,613.5,580.9,520.0
3524,467.9,485.9,589.7,700.0
3525,424.4,511.0,476.7,360.0
3526,493.6,631.5,560.6,560.0
3527,378.1,436.4,403.5,380.0
3528,372.3,474.6,440.6,320.0
3529,421.4,484.9,456.1,380.0
3530,545.9,687.2,679.7,780.0
3531,500.2,518.8,440.6,300.0
3532,636.7,716.8,705.4,860.0
3533,430.2,617.0,501.3,400.0
3534,477.2,585.7,589.6,440.0
3535,471.4,615.6,554.2,680.0
3536,446.9,574.2,534.2,340.0
3537,369.2,420.1,439.1,460.0
